
TIME	EVENT	SRC	DST
0.01018000000080000050	ARR-FROM-TRNSP	3	0
0.02618000000080000084	DEP-FROM-SRC	1	0
0.12618000000080001333	ARR-TO-DEST	1	0
0.12636000000159999801	ACK-CREAT	2	0
0.12722400000160000166	ACK-TO-TRANS	4	0
RTT
0.22722400000160000721	ACK-ARRiv 	4	0
0.22740400000240001965	ARR-FROM-TRNSP	3	1
0.22740400000240001965	ARR-FROM-TRNSP	3	2
0.24340400000240000611	DEP-FROM-SRC	1	1
0.25940400000239999256	DEP-FROM-SRC	1	2
0.34340400000240001166	ARR-TO-DEST	1	1
0.34358400000319999634	ACK-CREAT	2	1
0.34444800000319997224	ACK-TO-TRANS	4	1
0.35940400000240002587	ARR-TO-DEST	1	2
0.35958400000320001055	ACK-CREAT	2	2
0.36044800000319998645	ACK-TO-TRANS	4	2
RTT
0.44444800000319995004	ACK-ARRiv 	4	1
0.44462800000399993472	ARR-FROM-TRNSP	3	3
0.44462800000399993472	ARR-FROM-TRNSP	3	4
0.46044800000319996425	ACK-ARRiv 	4	2
0.46062800000399994893	DEP-FROM-SRC	1	3
0.46062800000399994893	ARR-FROM-TRNSP	3	6
0.46062800000399994893	ARR-FROM-TRNSP	3	5
0.47662800000399990763	DEP-FROM-SRC	1	4
0.49262800000399992184	DEP-FROM-SRC	1	6
0.50862800000399999156	DEP-FROM-SRC	1	5
0.56062800000399992673	ARR-TO-DEST	1	3
0.56080800000479991141	ACK-CREAT	2	3
0.56167200000479988731	ACK-TO-TRANS	4	3
0.57662800000399994094	ARR-TO-DEST	1	4
0.57680800000479992562	ACK-CREAT	2	4
0.57767200000479990152	ACK-TO-TRANS	4	4
0.59262800000399995515	ARR-TO-DEST	1	6
0.59280800000479993983	ACK-CREAT	2	6
0.59367200000479991573	ACK-TO-TRANS	4	6
0.60862800000399996936	ARR-TO-DEST	1	5
0.60880800000479995404	ACK-CREAT	2	5
0.60967200000479992994	ACK-TO-TRANS	4	5
RTT
0.66167200000479986510	ACK-ARRiv 	4	3
0.66185200000559984979	ARR-FROM-TRNSP	3	7
0.66185200000559984979	ARR-FROM-TRNSP	3	8
0.67767200000479987931	ACK-ARRiv 	4	4
0.67785200000559986400	DEP-FROM-SRC	1	7
0.67785200000559986400	ARR-FROM-TRNSP	3	10
0.67785200000559986400	ARR-FROM-TRNSP	3	9
0.69367200000479989352	ACK-ARRiv 	4	6
0.69385200000559987821	DEP-FROM-SRC	1	8
0.69385200000559987821	ARR-FROM-TRNSP	3	12
0.69385200000559987821	ARR-FROM-TRNSP	3	11
0.70967200000479990774	ACK-ARRiv 	4	5
0.70985200000559989242	DEP-FROM-SRC	1	10
0.70985200000559989242	ARR-FROM-TRNSP	3	14
0.70985200000559989242	ARR-FROM-TRNSP	3	13
0.72585200000559990663	DEP-FROM-SRC	1	9
0.74185200000559992084	DEP-FROM-SRC	1	12
0.75785200000559982403	DEP-FROM-SRC	1	11
0.77385200000559983824	DEP-FROM-SRC	1	14
0.77785200000559984179	ARR-TO-DEST	1	7
0.77803200000639982647	ACK-CREAT	2	7
0.77889600000639980237	ACK-TO-TRANS	4	7
0.78985200000559985245	DEP-FROM-SRC	1	13
0.79385200000559985600	ARR-TO-DEST	1	8
0.79403200000639984069	ACK-CREAT	2	8
0.79489600000639981658	ACK-TO-TRANS	4	8
0.80985200000559987021	ARR-TO-DEST	1	10
0.81003200000639985490	ACK-CREAT	2	400
0.81089600000639983080	ACK-TO-TRANS	4	400
0.82585200000559988442	ARR-TO-DEST	1	9
0.82603200000639986911	ACK-CREAT	2	9
0.82689600000639984501	ACK-TO-TRANS	4	9
0.84185200000559989864	ARR-TO-DEST	1	12
0.84203200000639988332	ACK-CREAT	2	12
0.84289600000639985922	ACK-TO-TRANS	4	12
0.85785200000559980182	ARR-TO-DEST	1	11
0.85803200000639978651	ACK-CREAT	2	11
0.85889600000639976241	ACK-TO-TRANS	4	11
0.87385200000559981603	ARR-TO-DEST	1	14
0.87403200000639980072	ACK-CREAT	2	14
0.87489600000639977662	ACK-TO-TRANS	4	14
RTT
0.87889600000639978017	ACK-ARRiv 	4	7
0.87907600000719976485	ARR-FROM-TRNSP	3	15
0.87907600000719976485	ARR-FROM-TRNSP	3	16
0.88985200000559983025	ARR-TO-DEST	1	13
0.89003200000639981493	ACK-CREAT	2	440
0.89089600000639979083	ACK-TO-TRANS	4	440
0.89489600000639979438	ACK-ARRiv 	4	8
0.89507600000719977906	DEP-FROM-SRC	1	15
0.89507600000719977906	ARR-FROM-TRNSP	3	18
0.89507600000719977906	ARR-FROM-TRNSP	3	17
0.91089600000639980859	ACK-ARRiv 	4	400
0.91107600000719979327	DEP-FROM-SRC	1	16
0.91107600000719979327	ARR-FROM-TRNSP	3	20
0.91107600000719979327	ARR-FROM-TRNSP	3	19
0.92689600000639982280	ACK-ARRiv 	4	9
0.92707600000719980748	DEP-FROM-SRC	1	18
0.92707600000719980748	ARR-FROM-TRNSP	3	22
0.92707600000719980748	ARR-FROM-TRNSP	3	21
0.94289600000639983701	ACK-ARRiv 	4	12
0.94307600000719982170	DEP-FROM-SRC	1	17
0.94307600000719982170	ARR-FROM-TRNSP	3	24
0.94307600000719982170	ARR-FROM-TRNSP	3	23
0.95889600000639974020	ACK-ARRiv 	4	11
0.95907600000719972488	ARR-FROM-TRNSP	3	25
0.95907600000719972488	ARR-FROM-TRNSP	3	26
0.95907600000719983591	DEP-FROM-SRC	1	20
0.97489600000639975441	ACK-ARRiv 	4	14
0.97507600000719973909	DEP-FROM-SRC	1	19
0.97507600000719973909	ARR-FROM-TRNSP	3	28
0.97507600000719973909	ARR-FROM-TRNSP	3	27
0.99089600000639976862	ACK-ARRiv 	4	440
0.99107600000719975331	DEP-FROM-SRC	1	22
0.99107600000719975331	ARR-FROM-TRNSP	3	30
0.99107600000719975331	ARR-FROM-TRNSP	3	29
0.99507600000719975686	ARR-TO-DEST	1	15
0.99525600000799974154	ACK-CREAT	2	15
0.99612000000799971744	ACK-TO-TRANS	4	15
1.00707600000719987854	DEP-FROM-SRC	1	21
1.01107600000719988209	ARR-TO-DEST	1	16
1.01125600000799997780	ACK-CREAT	2	16
1.01212000000799995370	ACK-TO-TRANS	4	16
1.02307600000719989275	DEP-FROM-SRC	1	24
1.02707600000719989630	ARR-TO-DEST	1	18
1.02725600000799999201	ACK-CREAT	2	18
1.02812000000799996791	ACK-TO-TRANS	4	18
1.03907600000719990696	DEP-FROM-SRC	1	23
1.04307600000719991051	ARR-TO-DEST	1	17
1.04325600000800000622	ACK-CREAT	2	17
1.04412000000799998212	ACK-TO-TRANS	4	17
1.05907600000719992472	ARR-TO-DEST	1	20
1.05925600000800002043	ACK-CREAT	2	20
1.06012000000799999633	ACK-TO-TRANS	4	20
1.07107600000719971334	DEP-FROM-SRC	1	25
1.07507600000719971689	ARR-TO-DEST	1	19
1.07525600000799981260	ACK-CREAT	2	19
1.07612000000799978849	ACK-TO-TRANS	4	19
1.08707600000719972755	DEP-FROM-SRC	1	28
1.08707600000719972755	DEP-FROM-SRC	1	26
1.09107600000719973110	ARR-TO-DEST	1	22
1.09125600000799982681	ACK-CREAT	2	22
1.09212000000799980270	ACK-TO-TRANS	4	22
RTT
1.09612000000799980626	ACK-ARRiv 	4	15
1.09630000000879990196	ARR-FROM-TRNSP	3	31
1.09630000000879990196	ARR-FROM-TRNSP	3	32
1.10307600000719974176	DEP-FROM-SRC	1	27
1.10707600000719996736	ARR-TO-DEST	1	21
1.10725600000800006306	ACK-CREAT	2	21
1.10812000000800003896	ACK-TO-TRANS	4	21
1.11212000000800004251	ACK-ARRiv 	4	16
1.11230000000880013822	ARR-FROM-TRNSP	3	33
1.11230000000880013822	ARR-FROM-TRNSP	3	34
1.11907600000719975597	DEP-FROM-SRC	1	30
1.12307600000719998157	ARR-TO-DEST	1	24
1.12325600000800007727	ACK-CREAT	2	24
1.12412000000800005317	ACK-TO-TRANS	4	24
1.12812000000800005672	ACK-ARRiv 	4	18
1.12830000000880015243	ARR-FROM-TRNSP	3	35
1.12830000000880015243	ARR-FROM-TRNSP	3	36
1.13507600000719977018	DEP-FROM-SRC	1	29
1.13907600000719999578	ARR-TO-DEST	1	23
1.13925600000800009148	ACK-CREAT	2	23
1.14012000000800006738	ACK-TO-TRANS	4	23
1.14412000000800007093	ACK-ARRiv 	4	17
1.14430000000880016664	ARR-FROM-TRNSP	3	37
1.14430000000880016664	ARR-FROM-TRNSP	3	38
1.16012000000800008515	ACK-ARRiv 	4	20
1.16030000000879995881	DEP-FROM-SRC	1	31
1.16030000000880018085	ARR-FROM-TRNSP	3	39
1.16030000000880018085	ARR-FROM-TRNSP	3	40
1.17107600000719980216	ARR-TO-DEST	1	25
1.17125600000799989786	ACK-CREAT	2	25
1.17212000000799987376	ACK-TO-TRANS	4	25
1.17612000000799987731	ACK-ARRiv 	4	19
1.17630000000879997302	DEP-FROM-SRC	1	32
1.17630000000879997302	ARR-FROM-TRNSP	3	42
1.17630000000879997302	ARR-FROM-TRNSP	3	41
1.18707600000719981637	ARR-TO-DEST	1	28
1.18707600000719981637	ARR-TO-DEST	1	26
1.18725600000799991207	ACK-CREAT	2	26
1.18725600000799991207	ACK-CREAT	2	28
1.18812000000799988797	ACK-TO-TRANS	4	28
1.18812000000799988797	ACK-TO-TRANS	4	26
1.19212000000799989152	ACK-ARRiv 	4	22
1.19230000000879998723	ARR-FROM-TRNSP	3	43
1.19230000000879998723	ARR-FROM-TRNSP	3	44
1.19230000000880020927	DEP-FROM-SRC	1	33
1.20307600000719983058	ARR-TO-DEST	1	27
1.20325600000799992628	ACK-CREAT	2	27
1.20412000000799990218	ACK-TO-TRANS	4	27
1.20812000000800012778	ACK-ARRiv 	4	21
1.20830000000880022348	DEP-FROM-SRC	1	34
1.20830000000880022348	ARR-FROM-TRNSP	3	46
1.20830000000880022348	ARR-FROM-TRNSP	3	45
1.21907600000719984479	ARR-TO-DEST	1	30
1.21925600000799994049	ACK-CREAT	2	30
1.22012000000799991639	ACK-TO-TRANS	4	30
1.22412000000800014199	ACK-ARRiv 	4	24
1.22430000000880023769	DEP-FROM-SRC	1	35
1.22430000000880023769	ARR-FROM-TRNSP	3	48
1.22430000000880023769	ARR-FROM-TRNSP	3	47
1.23507600000719985900	ARR-TO-DEST	1	29
1.23525600000799995470	ACK-CREAT	2	29
1.23612000000799993060	ACK-TO-TRANS	4	29
1.24012000000800015620	ACK-ARRiv 	4	23
1.24030000000880025190	DEP-FROM-SRC	1	36
1.24030000000880025190	ARR-FROM-TRNSP	3	50
1.24030000000880025190	ARR-FROM-TRNSP	3	49
1.25630000000880026612	DEP-FROM-SRC	1	37
